time: 2000000000
128 62 10000001
128 63 10000001
128 64 10000001
128 65 10000001
129 1 10000001
129 2 10000001
129 3 10000001
129 4 10000001
129 5 10000001
129 6 10000001
129 7 10000001
129 8 10000001
129 9 10000001
129 10 10000001
129 11 10000001
129 12 10000001
129 13 10000001
129 14 10000001
129 15 10000001
129 16 10000001
129 17 10000001
129 18 10000001
129 19 10000001
129 20 10000001
129 21 10000001
129 22 10000001
129 23 10000001
129 24 10000001
129 25 10000001
129 26 10000001
129 27 10000001
129 28 10000001
129 29 10000001
129 30 10000001
129 31 10000001
129 32 10000001
129 33 10000001
129 34 10000001
129 35 10000001
129 36 10000001
129 37 10000001
129 38 10000001
129 39 10000001
129 40 10000001
129 41 10000001
129 42 10000001
129 43 10000001
129 44 10000001
129 45 10000001
129 46 10000001
129 47 10000001
129 48 10000001
129 49 10000001
129 50 10000001
129 51 10000001
129 52 10000001
129 53 10000001
129 54 10000001
129 55 10000001
129 56 10000001
129 57 10000001
129 58 10000001
129 59 10000001
129 60 10000001
129 61 10000001
129 62 10000001
129 63 10000001
129 64 10000001
129 65 10000001
